cell_id,cluster,mean_event_prob,burden_rate,m6a_freq_cell,n_significant
SRR15269814,0,0.3400577556804242,0.00533558667310478,0.024300419074440954,221
SRR15269561,0,0.3404050235476203,0.005324813631522897,0.021282822789940606,220
SRR15270066,0,0.34048809082237846,0.00528740841453282,0.024963866191370417,210
SRR15269035,0,0.3423550740210327,0.005278721376377722,0.020000085565046455,216
SRR15269791,0,0.339579195396536,0.00524229958864252,0.020418331704014886,209
SRR15269675,0,0.3400532497494569,0.005226922102742407,0.022683619919031544,227
SRR15269356,0,0.3413394173789356,0.005103379895599429,0.024178625915749093,175
SRR15269227,0,0.33960802603487744,0.005099375637421954,0.022035307323247027,205
SRR15269433,2,0.33989032015630805,0.005092332020047707,0.021199728580437237,190
SRR15270008,0,0.34282026212545913,0.004903392730459458,0.026497301154281103,235
SRR15270027,0,0.3397135815821585,0.004765888407229954,0.021709306470886036,188
SRR15269945,0,0.3412886320974332,0.004639246641739371,0.01676853846217619,201
SRR15269462,2,0.3415500111123026,0.004544373695474121,0.023790914642287057,172
SRR15269654,0,0.3412914447886513,0.004471082968799092,0.021855551781785137,185
SRR15268948,0,0.3401657584551856,0.0043388204513245395,0.02110702792429407,199
SRR15269861,2,0.33767262895975425,0.0042906497269586535,0.020080929401463977,154
SRR15270023,0,0.3446785644639605,0.004131971390817375,0.01953757264910567,197
SRR15268922,0,0.34175011494059937,0.0041243116038720004,0.01700067999424633,170
SRR15269959,2,0.33968222812098625,0.004063002928528085,0.016427308733692855,154
SRR15269188,2,0.3386599361256896,0.003970788326437675,0.02056710310406904,143
SRR15268965,0,0.3408195042880767,0.00368590491298465,0.018599084955794952,158
SRR15269119,2,0.3409963596202864,0.00162432425572955,0.003821741247954294,64
SRR15270022,2,0.34011075564926735,0.001192890373374687,0.0005717893215361015,40
SRR15269741,2,0.34234765028047714,0.0010973020681758546,0.0005218348510748936,46
